TN,AN,Iterations,NL_E (m),NL_T (s),NL_A
25,15,20,0.35,1.22,24
25,15,40,0.272,2.47,24
25,15,60,0.317,3.62,24
25,15,80,0.326,4.82,25
25,15,100,0.28,6.2,25
50,30,20,0.312,2.54,47
50,30,40,0.272,5.29,50
50,30,60,0.289,7.66,50
50,30,80,0.285,10.2,48
50,30,100,0.221,13.07,49
75,45,20,0.292,3.79,75
75,45,40,0.317,7.91,73
75,45,60,0.288,11.69,73
75,45,80,0.237,17.02,71
75,45,100,0.204,19.86,74
100,60,20,0.344,5.35,100
100,60,40,0.247,11.33,97
100,60,60,0.241,17.17,97
100,60,80,0.229,23.23,99
100,60,100,0.209,28.85,99
125,75,20,0.269,7.52,125
125,75,40,0.237,14.19,124
125,75,60,0.218,21.21,122
125,75,80,0.213,27.87,123
125,75,100,0.222,32.91,125
150,90,20,0.248,8.17,149
150,90,40,0.212,16.26,150
150,90,60,0.181,25.01,150
150,90,80,0.201,32.23,150
150,90,100,0.184,40.48,149
